GroupName,GroupCat,GroupCode,Sex,SexCode,InvSexCode,IndivCode,IndivID,Vision,VisionCode,InvVisionCode,DateIndex,BirthWeek,DayNum,WeekNum,Season,SeasonCode,MinTemp,MaxTemp,Rainfallmm,EnergyStress,InfDepend,InfDepCode,InvInfDepCode,TimeTravelh,TimeTravelday,YORTotal,CrypTotal,LuminTotal,DimTotal,BrightTotal,UnkLightTotal,PatchTotal
A,1,1,Female,1,0,1,1F,Tri,1,0,27-Jan-06,16,27,5,Wet,1,22,27,43.18,TRUE,TRUE,1,0,0.791944444,0.066,0,3,1,3,2,0,5
A,1,1,Male,0,1,6,1M,Di,0,1,27-Jan-06,16,27,5,Wet,1,22,27,43.18,TRUE,TRUE,1,0,1.576666667,0.1314,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,7-Feb-06,18,38,6,Wet,1,0,0,0,TRUE,TRUE,1,0,0.428888889,0.0357,0,3,0,3,0,0,3
A,1,1,Male,0,1,6,1M,Di,0,1,7-Feb-06,18,38,6,Wet,1,0,0,0,TRUE,TRUE,1,0,0.691944444,0.0577,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,15-Feb-06,19,46,7,Wet,1,20,23,1.27,TRUE,TRUE,1,0,1.346666667,0.1122,0,0,0,1,0,0,1
A,1,1,Male,0,1,6,1M,Di,0,1,15-Feb-06,19,46,7,Wet,1,20,23,1.27,TRUE,TRUE,1,0,1.189722222,0.0991,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,9-Mar-06,22,68,11,Wet,1,24,29,0,TRUE,FALSE,0,1,0.795555556,0.0663,0,0,0,0,0,0,0
A,1,1,Male,0,1,6,1M,Di,0,1,9-Mar-06,22,68,11,Wet,1,24,29,0,FALSE,FALSE,0,1,0.615277778,0.0513,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,20-Mar-06,39,79,12,Wet,1,22,25,3.81,FALSE,FALSE,0,1,1.44,0.12,0,2,0,0,1,1,2
A,1,1,Male,0,1,6,1M,Di,0,1,20-Mar-06,39,79,12,Wet,1,22,25,3.81,FALSE,FALSE,0,1,1.053888889,0.0878,1,0,1,0,1,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,21-Mar-06,39,80,12,Wet,1,23,24,5.08,FALSE,FALSE,0,1,1.348888889,0.1124,0,1,0,1,0,0,1
A,1,1,Male,0,1,6,1M,Di,0,1,21-Mar-06,39,80,12,Wet,1,23,24,5.08,FALSE,FALSE,0,1,1.578055556,0.1315,0,1,0,1,1,0,2
A,1,1,Female,1,0,1,1F,Tri,1,0,27-Mar-06,40,86,13,Wet,1,21,24,0.508,FALSE,FALSE,0,1,1.255833333,0.1047,0,1,0,1,0,0,1
A,1,1,Male,0,1,6,1M,Di,0,1,27-Mar-06,40,86,13,Wet,1,21,24,0.508,FALSE,FALSE,0,1,1.584444444,0.132,0,1,0,1,0,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,30-Mar-06,40,89,14,Wet,1,23,27,0.508,FALSE,FALSE,0,1,0.307777778,0.0257,0,0,0,0,1,0,1
A,1,1,Male,0,1,6,1M,Di,0,1,30-Mar-06,40,89,14,Wet,1,23,27,0.508,FALSE,FALSE,0,1,0.288888889,0.0241,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,4-Apr-06,41,94,14,Wet,1,23,26,0.508,FALSE,FALSE,0,1,1.454722222,0.1212,2,0,1,3,1,0,4
A,1,1,Male,0,1,6,1M,Di,0,1,4-Apr-06,41,94,14,Wet,1,23,26,0.508,FALSE,FALSE,0,1,1.239444444,0.1033,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,7-Apr-06,41,97,15,Wet,1,22,24,22.86,FALSE,FALSE,0,1,0.755833333,0.063,1,2,1,4,0,0,4
A,1,1,Male,0,1,6,1M,Di,0,1,7-Apr-06,41,97,15,Wet,1,22,24,22.86,FALSE,FALSE,0,1,0.861111111,0.0718,0,1,0,1,0,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,18-Apr-06,43,108,16,Wet,1,19,21,0.508,FALSE,FALSE,0,1,1.425833333,0.1188,1,2,1,3,0,0,3
A,1,1,Male,0,1,6,1M,Di,0,1,18-Apr-06,43,108,16,Wet,1,19,21,0.508,FALSE,FALSE,0,1,1.167777778,0.0973,1,0,1,1,0,1,2
A,1,1,Female,1,0,1,1F,Tri,1,0,27-Apr-06,44,117,18,Wet,1,21,25,0.508,FALSE,FALSE,0,1,1.398888889,0.1166,3,1,2,2,3,1,6
A,1,1,Male,0,1,6,1M,Di,0,1,27-Apr-06,44,117,18,Wet,1,21,25,0.508,FALSE,FALSE,0,1,1.642777778,0.1369,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,28-Apr-06,44,118,18,Wet,1,0,0,0,FALSE,FALSE,0,1,1.8425,0.1535,0,2,2,2,5,1,8
A,1,1,Male,0,1,6,1M,Di,0,1,28-Apr-06,44,118,18,Wet,1,0,0,0,FALSE,FALSE,0,1,1.276666667,0.1064,2,2,0,2,2,0,4
A,1,1,Female,1,0,1,1F,Tri,1,0,15-May-06,47,135,20,Dry,0,18,25,0,FALSE,FALSE,0,1,1.018333333,0.0849,1,3,1,3,1,0,4
A,1,1,Male,0,1,6,1M,Di,0,1,15-May-06,47,135,20,Dry,0,18,25,0,FALSE,FALSE,0,1,0.658611111,0.0549,1,1,2,1,2,0,3
A,1,1,Female,1,0,1,1F,Tri,1,0,6-Jul-06,54,187,28,Dry,0,20,27,0,FALSE,FALSE,0,1,0.388055556,0.0323,0,0,0,0,0,0,0
A,1,1,Male,0,1,6,1M,Di,0,1,6-Jul-06,54,187,28,Dry,0,20,27,0,FALSE,FALSE,0,1,0.585555556,0.0488,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,26-Jul-06,57,207,30,Dry,0,23,29,0,FALSE,FALSE,0,1,1.1475,0.0956,0,0,1,3,2,0,5
A,1,1,Male,0,1,6,1M,Di,0,1,26-Jul-06,57,207,30,Dry,0,23,29,0,FALSE,FALSE,0,1,1.043888889,0.087,1,0,0,1,0,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,27-Jul-06,57,208,31,Dry,0,0,0,0,FALSE,FALSE,0,1,0.656388889,0.0547,0,3,0,1,3,1,5
A,1,1,Male,0,1,6,1M,Di,0,1,27-Jul-06,57,208,31,Dry,0,0,0,0,FALSE,FALSE,0,1,0.798888889,0.0666,1,0,0,0,1,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,18-Aug-06,1,230,34,Dry,0,20,22,12.7,TRUE,TRUE,1,0,1.069722222,0.0891,2,0,2,4,0,0,4
A,1,1,Male,0,1,6,1M,Di,0,1,18-Aug-06,1,230,34,Dry,0,20,22,12.7,TRUE,TRUE,1,0,0.91,0.0758,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,23-Aug-06,2,235,34,Dry,0,19,25,0,TRUE,TRUE,1,0,1.567222222,0.1306,0,4,0,2,5,0,7
A,1,1,Male,0,1,6,1M,Di,0,1,23-Aug-06,2,235,34,Dry,0,19,25,0,TRUE,TRUE,1,0,1.448333333,0.1207,0,1,0,0,1,0,1
A,1,1,Female,1,0,1,1F,Tri,1,0,7-Sep-06,4,250,37,Dry,0,15,28,0,TRUE,TRUE,1,0,0.415555556,0.0346,1,0,0,1,0,0,1
A,1,1,Male,0,1,6,1M,Di,0,1,7-Sep-06,4,250,37,Dry,0,15,28,0,TRUE,TRUE,1,0,0.300555556,0.0251,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,21-Sep-06,6,264,39,Dry,0,23,26,0,TRUE,TRUE,1,0,0.284722222,0.0237,0,0,0,1,0,3,4
A,1,1,Male,0,1,6,1M,Di,0,1,21-Sep-06,6,264,39,Dry,0,23,26,0,TRUE,TRUE,1,0,0.243888889,0.0203,0,0,0,0,0,0,0
A,1,1,Female,1,0,1,1F,Tri,1,0,26-Sep-06,7,269,39,Dry,0,18.5,30,0,TRUE,TRUE,1,0,0.558611111,0.0466,0,1,0,2,0,1,3
A,1,1,Male,0,1,6,1M,Di,0,1,26-Sep-06,7,269,39,Dry,0,18.5,30,0,TRUE,TRUE,1,0,0.641944444,0.0535,0,0,0,0,0,1,1
A,1,1,Female,1,0,1,1F,Tri,1,0,3-Oct-06,8,276,40,Wet,1,22,30,0,TRUE,TRUE,1,0,0.69,0.0575,2,1,1,4,2,0,6
A,1,1,Male,0,1,6,1M,Di,0,1,3-Oct-06,8,276,40,Wet,1,22,30,0,TRUE,TRUE,1,0,0.807222222,0.0673,0,0,0,1,0,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,23-Jan-06,5,23,4,Wet,1,20,27,0.508,TRUE,TRUE,1,0,1.0075,0.084,2,0,2,0,0,2,2
B,0,2,Male,0,1,7,2M,Di,0,1,23-Jan-06,5,23,4,Wet,1,20,27,0.508,TRUE,TRUE,1,0,1.206111111,0.1005,0,0,0,0,0,1,1
B,0,2,Female,1,0,2,2F,Di,0,1,6-Feb-06,7,37,6,Wet,1,23,26,0,TRUE,TRUE,1,0,0.996388889,0.083,0,2,0,2,0,1,3
B,0,2,Male,0,1,7,2M,Di,0,1,6-Feb-06,7,37,6,Wet,1,23,26,0,TRUE,TRUE,1,0,0.938611111,0.0782,0,1,0,1,0,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,9-Feb-06,7,40,6,Wet,1,22,23,1.27,TRUE,TRUE,1,0,1.13,0.0942,0,1,1,1,1,0,2
B,0,2,Male,0,1,7,2M,Di,0,1,9-Feb-06,7,40,6,Wet,1,22,23,1.27,TRUE,TRUE,1,0,2.998055556,0.2498,0,0,0,0,0,1,1
B,0,2,Female,1,0,2,2F,Di,0,1,10-Mar-06,11,69,11,Wet,1,23,30,0,TRUE,TRUE,1,0,1.515,0.1263,0,2,0,3,0,2,5
B,0,2,Male,0,1,7,2M,Di,0,1,10-Mar-06,11,69,11,Wet,1,23,30,0,TRUE,TRUE,1,0,0.833333333,0.0694,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,13-Mar-06,12,72,11,Wet,1,23,28,5.08,TRUE,TRUE,1,0,1.180555556,0.0984,1,3,1,3,2,1,6
B,0,2,Male,0,1,7,2M,Di,0,1,13-Mar-06,12,72,11,Wet,1,23,28,5.08,TRUE,TRUE,1,0,0.751944444,0.0627,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,17-Mar-06,12,76,12,Wet,1,23,27,2.54,TRUE,TRUE,1,0,0.430555556,0.0359,0,0,0,0,0,0,0
B,0,2,Male,0,1,7,2M,Di,0,1,17-Mar-06,12,76,12,Wet,1,23,27,2.54,TRUE,TRUE,1,0,0.508611111,0.0424,0,0,0,0,0,1,1
B,0,2,Female,1,0,2,2F,Di,0,1,11-Apr-06,16,101,15,Wet,1,20,22,5.08,TRUE,TRUE,1,0,0.912222222,0.076,0,1,0,3,1,1,5
B,0,2,Male,0,1,7,2M,Di,0,1,11-Apr-06,16,101,15,Wet,1,20,22,5.08,TRUE,TRUE,1,0,1.070555556,0.0892,0,1,0,1,0,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,25-Apr-06,18,115,17,Wet,1,23,26,0,TRUE,TRUE,1,0,1.132777778,0.0944,1,0,1,1,0,1,2
B,0,2,Male,0,1,7,2M,Di,0,1,25-Apr-06,18,115,17,Wet,1,23,26,0,TRUE,TRUE,1,0,1.207222222,0.1006,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,16-May-06,21,136,20,Dry,0,18,24,0,TRUE,FALSE,0,1,0.074722222,0.0062,0,0,0,0,0,0,0
B,0,2,Male,0,1,7,2M,Di,0,1,16-May-06,21,136,20,Dry,0,18,24,0,FALSE,FALSE,0,1,0.041666667,0.0035,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,17-May-06,21,137,20,Dry,0,18,26,0,TRUE,FALSE,0,1,1.594722222,0.1329,0,3,0,1,3,2,6
B,0,2,Male,0,1,7,2M,Di,0,1,17-May-06,21,137,20,Dry,0,18,26,0,FALSE,FALSE,0,1,1.636388889,0.1364,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,23-May-06,22,143,21,Dry,0,15,22,0.508,TRUE,FALSE,0,1,1.540555556,0.1284,1,2,0,3,0,1,4
B,0,2,Male,0,1,7,2M,Di,0,1,23-May-06,22,143,21,Dry,0,15,22,0.508,FALSE,FALSE,0,1,1.438055556,0.1198,0,1,0,1,0,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,29-Jun-06,27,180,27,Dry,0,20,23,0,TRUE,FALSE,0,1,1.268611111,0.1057,1,5,0,5,1,0,6
B,0,2,Male,0,1,7,2M,Di,0,1,29-Jun-06,27,180,27,Dry,0,20,23,0,FALSE,FALSE,0,1,1.363888889,0.1137,1,0,0,0,1,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,17-Jul-06,30,198,29,Dry,0,0,0,0,TRUE,FALSE,0,1,0.385,0.0321,0,2,0,3,0,0,3
B,0,2,Male,0,1,7,2M,Di,0,1,17-Jul-06,30,198,29,Dry,0,0,0,0,FALSE,FALSE,0,1,0.400277778,0.0334,0,2,0,2,0,0,2
B,0,2,Female,1,0,2,2F,Di,0,1,25-Jul-06,31,206,30,Dry,0,19,28,0,TRUE,FALSE,0,1,0.858611111,0.0716,2,1,1,0,3,1,4
B,0,2,Male,0,1,7,2M,Di,0,1,25-Jul-06,31,206,30,Dry,0,19,28,0,FALSE,FALSE,0,1,0.912777778,0.0761,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,14-Aug-06,34,226,33,Dry,0,21.5,30,0,TRUE,FALSE,0,1,0.634722222,0.0529,0,0,0,1,0,0,1
B,0,2,Male,0,1,7,2M,Di,0,1,14-Aug-06,34,226,33,Dry,0,21.5,30,0,FALSE,FALSE,0,1,0.662777778,0.0552,0,0,0,0,1,0,1
B,0,2,Female,1,0,2,2F,Di,0,1,21-Aug-06,35,233,34,Dry,0,20,23.5,0,TRUE,FALSE,0,1,1.826111111,0.1522,0,0,0,0,1,0,1
B,0,2,Male,0,1,7,2M,Di,0,1,21-Aug-06,35,233,34,Dry,0,20,23.5,0,FALSE,FALSE,0,1,1.726388889,0.1439,0,0,0,0,0,1,1
B,0,2,Female,1,0,2,2F,Di,0,1,25-Aug-06,35,237,35,Dry,0,20,30,0,TRUE,FALSE,0,1,1.239166667,0.1033,1,2,2,2,4,4,10
B,0,2,Male,0,1,7,2M,Di,0,1,25-Aug-06,35,237,35,Dry,0,20,30,0,FALSE,FALSE,0,1,1.036388889,0.0864,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,6-Sep-06,37,249,36,Dry,0,14,23,0,TRUE,FALSE,0,1,1.048333333,0.0874,1,1,1,5,1,1,7
B,0,2,Male,0,1,7,2M,Di,0,1,6-Sep-06,37,249,36,Dry,0,14,23,0,FALSE,FALSE,0,1,0.961388889,0.0801,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,8-Sep-06,37,251,37,Dry,0,18,30,0,TRUE,FALSE,0,1,1.566111111,0.1305,1,0,1,4,0,2,6
B,0,2,Male,0,1,7,2M,Di,0,1,8-Sep-06,37,251,37,Dry,0,18,30,0,FALSE,FALSE,0,1,1.388888889,0.1157,0,1,0,2,0,1,3
B,0,2,Female,1,0,2,2F,Di,0,1,22-Sep-06,39,265,39,Dry,0,21,23.5,12.7,TRUE,FALSE,0,1,1.4475,0.1206,3,0,2,4,0,5,9
B,0,2,Male,0,1,7,2M,Di,0,1,22-Sep-06,39,265,39,Dry,0,21,23.5,12.7,FALSE,FALSE,0,1,1.0275,0.0856,0,0,0,0,0,0,0
B,0,2,Female,1,0,2,2F,Di,0,1,4-Oct-06,41,277,40,Wet,1,22,28.5,0.508,FALSE,FALSE,0,1,0.841388889,0.0701,0,0,0,1,0,0,1
B,0,2,Male,0,1,7,2M,Di,0,1,4-Oct-06,41,277,40,Wet,1,22,28.5,0.508,FALSE,FALSE,0,1,0.884722222,0.0737,0,0,0,2,0,0,2
C,1,3,Female,1,0,3,3F,Tri,1,0,3-Feb-06,24,34,6,Wet,1,22,29,0,TRUE,TRUE,1,0,1.497777778,0.1248,3,10,2,1,12,2,15
C,1,3,Male,0,1,8,3M1,Di,0,1,3-Feb-06,24,34,6,Wet,1,22,29,0,TRUE,TRUE,1,0,2.736666667,0.2281,0,1,0,0,1,1,2
C,1,3,Female,1,0,3,3F,Tri,1,0,10-Feb-06,25,41,7,Wet,1,22,26,1.27,TRUE,TRUE,1,0,1.754722222,0.1462,0,2,0,1,3,1,5
C,1,3,Male,0,1,8,3M1,Di,0,1,10-Feb-06,25,41,7,Wet,1,22,26,1.27,TRUE,TRUE,1,0,1.456666667,0.1214,0,1,0,1,3,1,5
C,1,3,Female,1,0,3,3F,Tri,1,0,16-Feb-06,26,47,7,Wet,1,21,25,0.508,TRUE,TRUE,1,0,1.432777778,0.1194,1,3,0,2,4,1,7
C,1,3,Male,0,1,8,3M1,Di,0,1,16-Feb-06,26,47,7,Wet,1,21,25,0.508,TRUE,TRUE,1,0,0.872777778,0.0727,2,1,0,0,3,0,3
C,1,3,Female,1,0,3,3F,Tri,1,0,20-Feb-06,26,51,8,Wet,1,22,27,0,TRUE,TRUE,1,0,1.984722222,0.1654,2,0,1,4,2,3,9
C,1,3,Male,0,1,8,3M1,Di,0,1,20-Feb-06,26,51,8,Wet,1,22,27,0,TRUE,TRUE,1,0,2.290555556,0.1909,0,3,0,1,3,2,6
C,1,3,Female,1,0,3,3F,Tri,1,0,3-Apr-06,32,93,14,Wet,1,22,25,125.73,TRUE,FALSE,0,1,0.194444444,0.0162,0,1,1,2,0,0,2
C,1,3,Male,0,1,9,3M2,Di,0,1,3-Apr-06,32,93,14,Wet,1,22,25,125.73,FALSE,FALSE,0,1,0.0525,0.0044,0,0,0,0,0,0,0
C,1,3,Female,1,0,3,3F,Tri,1,0,4-May-06,37,124,19,Dry,0,17,22,0,TRUE,FALSE,0,1,1.713888889,0.1428,0,3,0,2,2,0,4
C,1,3,Male,0,1,9,3M2,Di,0,1,4-May-06,37,124,19,Dry,0,17,22,0,FALSE,FALSE,0,1,1.323055556,0.1103,0,0,1,1,0,1,2
C,1,3,Female,1,0,3,3F,Tri,1,0,12-May-06,38,132,20,Dry,0,17,22,0,TRUE,FALSE,0,1,0.670555556,0.0559,1,1,0,3,2,1,6
C,1,3,Male,0,1,9,3M2,Di,0,1,12-May-06,38,132,20,Dry,0,17,22,0,FALSE,FALSE,0,1,0.944444444,0.0787,0,0,0,0,0,0,0
C,1,3,Female,1,0,3,3F,Tri,1,0,3-Jun-06,41,154,23,Dry,0,21,25,0,FALSE,FALSE,0,1,0.490555556,0.0409,1,0,0,1,0,0,1
C,1,3,Male,0,1,9,3M2,Di,0,1,3-Jun-06,41,154,23,Dry,0,21,25,0,FALSE,FALSE,0,1,0.530277778,0.0442,0,0,0,0,0,0,0
C,1,3,Female,1,0,3,3F,Tri,1,0,5-Jul-06,46,186,27,Dry,0,20,27,0,FALSE,FALSE,0,1,0.694444444,0.0579,0,0,0,2,0,1,3
